candidate_id,pattern_text,pattern_type,frequency,chapter_count,confidence,guessed_category,suggested_regex,status
unknown_2c984e1ad27e,竟然,marker,2425,128,0.96,surprise,竟然,review
unknown_4b4879ae223e,毕竟,marker,2363,140,0.96,reasoning,毕竟,review
unknown_fbb1f79f649c,竟然,clause_anomaly,1475,127,0.96,surprise,竟然,review
unknown_a405ad6d00cc,毕竟,clause_anomaly,1149,129,0.96,reasoning,毕竟,review
unknown_9c7ef68921f8,由于,marker,840,144,0.96,,由于,review
unknown_9006b2972bb9,甚至,marker,702,119,0.96,,甚至,review
unknown_3f812cadda0e,甚至,clause_anomaly,548,97,0.96,,甚至,review
unknown_14f6733147c9,竟是,marker,501,102,0.96,,竟是,review
unknown_9c93a56ceb5a,由于,clause_anomaly,444,131,0.96,,由于,review
unknown_5df735e4eeb7,倒也,marker,438,106,0.96,,倒也,review
unknown_dc400838270f,否则,marker,432,113,0.96,condition,否则,review
unknown_1a4e0ed15409,至于,marker,419,96,0.96,,至于,review
unknown_fc54698627be,越...越,paired_marker,377,116,0.96,progressive_comparison,越(?P<a>.+?)越(?P<b>.+),review
unknown_fa654550899f,否则,clause_anomaly,360,94,0.96,condition,否则,review
unknown_a93d4c14bde4,至于,clause_anomaly,339,80,0.96,,至于,review
unknown_46424c166330,与其,marker,276,85,0.96,,与其,review
unknown_b44bc1aecbae,对于,marker,258,90,0.96,,对于,review
unknown_3ec477f8bd01,倒也,clause_anomaly,234,88,0.96,,倒也,review
unknown_b15a47439a82,终究,marker,209,68,0.96,conclusion,终究,review
unknown_1805abb58be3,偏偏,marker,206,61,0.96,counter_expectation,偏偏,review
unknown_ea0deeee6f5f,反而,marker,199,74,0.96,contrast,反而,review
unknown_86a78feca54c,不过是,marker,196,60,0.96,minimizing,不过是,review
unknown_cb35f3f3d5aa,反倒,marker,196,76,0.96,,反倒,review
unknown_953b50643067,未必,marker,189,64,0.96,,未必,review
unknown_4a159069f22f,只不过,marker,181,66,0.96,minimizing,只不过,review
unknown_b51de0d913a5,对于,clause_anomaly,171,55,0.96,,对于,review
unknown_30c68014e218,与其,clause_anomaly,169,70,0.96,,与其,review
unknown_b113cab7d833,竟是,clause_anomaly,168,56,0.96,,竟是,review
unknown_49439bd89de2,难不成,marker,158,53,0.96,rhetorical_question,难不成,review
unknown_90ada0fab7c4,反而,clause_anomaly,150,50,0.96,contrast,反而,review
unknown_4887ea00d7df,未必,clause_anomaly,147,48,0.96,,未必,review
unknown_d3a5420b65e1,何况,marker,145,61,0.96,addition,何况,review
unknown_d944ab66cf7e,莫非,marker,144,50,0.96,rhetorical_question,莫非,review
unknown_ad2a9922bcad,毕竟...竟是,frame_template,124,66,0.96,reasoning,毕竟(?P<a>.+?)竟是(?P<b>.+),review
unknown_5e338ff783a2,不过是,clause_anomaly,123,38,0.96,minimizing,不过是,review
unknown_6a6bde3b7405,毕竟 / 竟是,clause_anomaly,120,47,0.96,reasoning,毕竟(?P<a>.+?)竟是,review
unknown_9426672a35e4,终究,clause_anomaly,107,47,0.96,conclusion,终究,review
unknown_593bd90a4732,偏偏,clause_anomaly,105,47,0.96,counter_expectation,偏偏,review
unknown_cb4b74d2c4f1,反倒,clause_anomaly,104,56,0.96,,反倒,review
unknown_b7878b20f18f,莫非,clause_anomaly,101,41,0.96,rhetorical_question,莫非,review
unknown_d48ac6b9b181,更何况,marker,99,43,0.96,addition,更何况,review
unknown_7bec30182eec,不是...而是,paired_marker,98,60,0.96,contrast_correction,不是(?P<a>.+?)而是(?P<b>.+),review
unknown_a4b7ec996431,难不成,clause_anomaly,97,40,0.96,rhetorical_question,难不成,review
unknown_b762a4403719,并非,marker,94,43,0.96,,并非,review
unknown_d4e67ff09480,关于,marker,93,34,0.96,,关于,review
unknown_d11827d96b36,关于,clause_anomaly,91,31,0.96,,关于,review
unknown_38bd2a77e88e,只不过,clause_anomaly,90,40,0.96,minimizing,只不过,review
unknown_6a1574e333b3,无论...都,paired_marker,89,47,0.96,regardless,无论(?P<a>.+?)都(?P<b>.+),review
unknown_de653a7be5a7,即使...也,paired_marker,88,42,0.96,concession,即使(?P<a>.+?)也(?P<b>.+),review
unknown_19893080246a,索性,marker,85,38,0.96,decision,索性,review
unknown_ea435be5542b,哪怕...也,paired_marker,77,39,0.96,concession,哪怕(?P<a>.+?)也(?P<b>.+),review
unknown_5aef92e65e35,再怎么,marker,68,31,0.96,,再怎么,review
unknown_9724559bd88c,并非,clause_anomaly,64,27,0.96,,并非,review
unknown_c6098c563082,说到底,marker,63,24,0.96,summary,说到底,review
unknown_2ca2047a62de,不管...都,paired_marker,58,33,0.96,regardless,不管(?P<a>.+?)都(?P<b>.+),review
unknown_d426db6c8e4d,更何况 / 何况,clause_anomaly,57,29,0.96,addition,更何况(?P<a>.+?)何况,review
unknown_891f20c18ded,不仅...还,paired_marker,54,31,0.96,additive,不仅(?P<a>.+?)还(?P<b>.+),review
unknown_8c4f50f63092,更何况...何况,frame_template,54,39,0.96,addition,更何况(?P<a>.+?)何况(?P<b>.+),review
unknown_6f0c1abd9c05,即便...也,paired_marker,50,37,0.96,concession,即便(?P<a>.+?)也(?P<b>.+),review
unknown_b9f8295dd81f,只不过 / 不过是,clause_anomaly,46,13,0.96,minimizing,只不过(?P<a>.+?)不过是,review
unknown_d838173e9a2f,既...又,paired_marker,46,32,0.96,parallel_attribute,既(?P<a>.+?)又(?P<b>.+),review
unknown_bd9aa146580c,只不过...不过是,frame_template,27,15,0.96,minimizing,只不过(?P<a>.+?)不过是(?P<b>.+),review
unknown_a4364c0f2c6f,与其...不如,paired_marker,15,14,0.96,preference,与其(?P<a>.+?)不如(?P<b>.+),review
unknown_4da5ff797764,不但...而且,paired_marker,11,11,0.96,additive,不但(?P<a>.+?)而且(?P<b>.+),review
unknown_059aae460a02,再怎么...也,paired_marker,10,10,0.96,concession_limit,再怎么(?P<a>.+?)也(?P<b>.+),review
unknown_cdc7aa95a8d5,倒也...毕竟,frame_template,9,9,0.96,reasoning,倒也(?P<a>.+?)毕竟(?P<b>.+),review
unknown_b7afb68baaea,何尝,marker,50,22,0.958,,何尝,review
unknown_ae4fa72d2f68,乃至,marker,43,17,0.949,,乃至,review
unknown_2a6fd6fba545,宁可,marker,42,16,0.947,preference,宁可,review
unknown_d39090072285,索性,clause_anomaly,40,29,0.944,decision,索性,review
unknown_e0e80e26dbc0,乃至,clause_anomaly,32,10,0.931,,乃至,review
unknown_3fb4ed1d2872,再怎么,clause_anomaly,31,15,0.929,,再怎么,review
unknown_54db3ba36536,宁可,clause_anomaly,31,9,0.929,preference,宁可,review
unknown_cbc6ca9d9358,说到底,clause_anomaly,31,17,0.929,summary,说到底,review
unknown_a43431948735,换句话说,marker,30,15,0.927,definition,换句话说,review
unknown_c6482840f3cd,何尝,clause_anomaly,27,15,0.92,,何尝,review
unknown_8457cb6fcff0,免得,marker,26,11,0.918,precaution,免得,review
unknown_1930ab89c46a,以免,marker,24,13,0.913,precaution,以免,review
unknown_126dc37159fb,以免,clause_anomaly,23,11,0.911,precaution,以免,review
unknown_1493241df7bd,免得,clause_anomaly,23,10,0.911,precaution,免得,review
unknown_71a362c35b83,何况,clause_anomaly,21,12,0.905,addition,何况,review
unknown_3b9c234aa68e,换句话说,clause_anomaly,14,8,0.88,definition,换句话说,review
unknown_6a92936108b5,反而 / 甚至,clause_anomaly,8,4,0.86,contrast,反而(?P<a>.+?)甚至,review
unknown_9eb97d0df69a,否则 / 未必,clause_anomaly,8,4,0.86,condition,否则(?P<a>.+?)未必,review
unknown_30c6b8adc1a9,如果,ngram,5703,152,0.85,,如果,review
unknown_116b6b167125,之后,ngram,5445,137,0.85,,之后,review
unknown_3963f1f67ca0,虽然,ngram,4264,158,0.85,,虽然,review
unknown_c69f27c7c391,之中,ngram,3749,138,0.85,,之中,review
unknown_4b66714d8279,之前,ngram,3729,136,0.85,,之前,review
unknown_c0de04beb9bb,竟然,ngram,2425,128,0.85,surprise,竟然,review
unknown_c9e452428cb8,毕竟,ngram,2271,140,0.85,reasoning,毕竟,review
unknown_f18127550959,只要,ngram,2061,143,0.85,,只要,review
unknown_6158fdc047e4,之上,ngram,1614,125,0.85,,之上,review
unknown_35b88a7c90e9,之下,ngram,1236,127,0.85,,之下,review
unknown_0de23554bf84,难道,ngram,1118,126,0.85,,难道,review
unknown_129b3b96dbac,来说,ngram,892,126,0.85,,来说,review
unknown_4a922742dbe2,一旦,ngram,879,131,0.85,,一旦,review
unknown_504d19755732,由于,ngram,831,144,0.85,,由于,review
unknown_3e5146dbc65f,之内,ngram,824,110,0.85,,之内,review
unknown_b8467b878f92,无论,ngram,806,121,0.85,,无论,review
unknown_b32ca6a65dcf,即使,ngram,730,136,0.85,,即使,review
unknown_b705919b24cd,如果不,ngram,719,117,0.85,,如果不,review
unknown_183042b09346,甚至,ngram,675,119,0.85,,甚至,review
unknown_ce62d2086eec,不管,ngram,674,121,0.85,,不管,review
unknown_64b0f584c356,哪怕,ngram,664,114,0.85,,哪怕,review
unknown_52ce5ff55eb0,如果你,ngram,551,103,0.85,,如果你,review
unknown_64c3e7f4de32,竟是,ngram,501,102,0.85,,竟是,review
unknown_861c70723658,如果不是,ngram,481,102,0.85,,如果不是,review
unknown_6c23db85331d,即便,ngram,467,129,0.85,,即便,review
unknown_65d581763a9c,而已,ngram,467,113,0.85,,而已,review
unknown_152979af214b,倒也,ngram,436,105,0.85,,倒也,review
unknown_ea2ce6955a95,至于,ngram,405,95,0.85,,至于,review
unknown_fbe144429fbd,否则,ngram,397,108,0.85,condition,否则,review
unknown_fe64d6463405,无论是,ngram,361,105,0.85,,无论是,review
unknown_4b25471c1383,虽然不,ngram,350,114,0.85,,虽然不,review
unknown_bed2a133c632,罢了,ngram,342,81,0.85,,罢了,review
unknown_baa68dbbf463,如果他,ngram,318,88,0.85,,如果他,review
unknown_68a6e166b9c3,如果我,ngram,314,86,0.85,,如果我,review
unknown_9f59df442f74,除非,ngram,289,87,0.85,,除非,review
unknown_243117067451,与其,ngram,276,85,0.85,,与其,review
unknown_07732e1d3f14,如果是,ngram,275,99,0.85,,如果是,review
unknown_89fa12ae7811,对于,ngram,258,90,0.85,,对于,review
unknown_beea972743da,如果有,ngram,253,81,0.85,,如果有,review
unknown_cc3047de5370,久之后,ngram,233,65,0.85,,久之后,review
unknown_ffb33e325c84,竟然是,ngram,232,75,0.85,surprise,竟然是,review
unknown_1e64c2e65dd2,终究,ngram,209,68,0.85,conclusion,终究,review
unknown_0525c807d481,虽然没,ngram,203,86,0.85,,虽然没,review
unknown_825cef374dde,竟然还,ngram,199,65,0.85,surprise,竟然还,review
unknown_29f422ae70bb,反而,ngram,198,75,0.85,contrast,反而,review
unknown_ef00fef58db0,不过是,ngram,196,60,0.85,minimizing,不过是,review
unknown_824f20fefd83,反倒,ngram,196,76,0.85,,反倒,review
unknown_44b119528e4a,只要你,ngram,190,61,0.85,,只要你,review
unknown_0e5a0a910c74,如果没,ngram,189,65,0.85,,如果没,review
unknown_7cdb1220bdec,未必,ngram,189,64,0.85,,未必,review
unknown_f44696d53004,而言,ngram,185,59,0.85,,而言,review
unknown_0b2c99c71f6b,虽然他,ngram,185,80,0.85,,虽然他,review
unknown_edd11e13603d,如果真,ngram,183,63,0.85,,如果真,review
unknown_b7068789dda0,哪怕是,ngram,178,71,0.85,,哪怕是,review
unknown_48a7437626a1,虽然这,ngram,171,78,0.85,,虽然这,review
unknown_2a379b289a7e,难道是,ngram,171,59,0.85,,难道是,review
unknown_5e3e11886e77,即便是,ngram,168,75,0.85,,即便是,review
unknown_28956a647da0,虽然没有,ngram,167,80,0.85,,虽然没有,review
unknown_b23290987395,虽然是,ngram,162,78,0.85,,虽然是,review
unknown_fe7d1fe9cdf1,如果这,ngram,161,66,0.85,,如果这,review
unknown_f7e3144cd3f6,只不过,ngram,158,61,0.85,minimizing,只不过,review
unknown_1a974d62a8f7,只要不,ngram,156,64,0.85,,只要不,review
unknown_f2d4cdac74a0,即使是,ngram,154,50,0.85,,即使是,review
unknown_7bd201a0bad0,难不成,ngram,152,52,0.85,rhetorical_question,难不成,review
unknown_8a6edd2eb57d,如果没有,ngram,151,58,0.85,,如果没有,review
unknown_5e8df2d81fbd,他之前,ngram,149,47,0.85,,他之前,review
unknown_dda608b3f3c2,空之中,ngram,149,44,0.85,,空之中,review
unknown_897a69f4c725,是之前,ngram,144,48,0.85,,是之前,review
unknown_aac0d5395e22,竟然有,ngram,138,43,0.85,surprise,竟然有,review
unknown_a5e61e3bfbbc,莫非,ngram,138,50,0.85,rhetorical_question,莫非,review
unknown_7674f2d70394,虽然有,ngram,132,72,0.85,,虽然有,review
unknown_add5215ea599,难道你,ngram,128,31,0.85,,难道你,review
unknown_13b0329df32e,如果能,ngram,124,50,0.85,,如果能,review
unknown_50013ea08cef,只要他,ngram,121,55,0.85,,只要他,review
unknown_59582885b838,了之前,ngram,119,45,0.85,,了之前,review
unknown_d01ce875c24b,他竟然,ngram,117,43,0.85,surprise,他竟然,review
unknown_e36b055e23c5,许久之后,ngram,117,47,0.85,,许久之后,review
unknown_4e67c14b6249,年之后,ngram,116,44,0.85,,年之后,review
unknown_24e0aa24ec15,比之前,ngram,116,44,0.85,,比之前,review
unknown_0113ff8dad12,何况,ngram,115,60,0.85,addition,何况,review
unknown_e25c6f2a30f7,只要我,ngram,112,40,0.85,,只要我,review
unknown_97c33bca81a5,虽然只,ngram,111,56,0.85,,虽然只,review
unknown_28d2907a021d,如果真的,ngram,109,48,0.85,,如果真的,review
unknown_0ddb7805adb6,光之中,ngram,108,39,0.85,,光之中,review
unknown_327304509597,不管是,ngram,106,43,0.85,,不管是,review
unknown_ab206a42c25e,只要有,ngram,106,50,0.85,,只要有,review
unknown_6d6c8edad94f,我之前,ngram,100,37,0.85,,我之前,review
unknown_978619661586,来之前,ngram,100,40,0.85,,来之前,review
unknown_1997140ca882,无论如,ngram,96,54,0.85,,无论如,review
unknown_8449d36f760f,无论如何,ngram,96,54,0.85,,无论如何,review
unknown_d01be66033a9,并非,ngram,94,43,0.85,,并非,review
unknown_429c8953565c,殿之中,ngram,94,28,0.85,,殿之中,review
unknown_21a3c005b182,虽然在,ngram,94,52,0.85,,虽然在,review
unknown_57df0c9ec822,关于,ngram,93,34,0.85,,关于,review
unknown_2132559c0c9b,刻之后,ngram,91,35,0.85,,刻之后,review
unknown_39b44fa56c9e,完之后,ngram,91,43,0.85,,完之后,review
unknown_5c9f8b372326,海之中,ngram,91,35,0.85,,海之中,review
unknown_e345b655ab48,山之上,ngram,90,26,0.85,,山之上,review
unknown_428978a3938d,虽然我,ngram,90,37,0.85,,虽然我,review
unknown_3f56cce5455f,顶之上,ngram,90,33,0.85,,顶之上,review
unknown_f02dc631f8fe,片刻之后,ngram,87,34,0.85,,片刻之后,review
unknown_76da1ffa310a,竟然没,ngram,85,33,0.85,surprise,竟然没,review
unknown_4a3a55608401,索性,ngram,85,38,0.85,decision,索性,review
unknown_86575a687ec7,来之后,ngram,84,36,0.85,,来之后,review
unknown_d010dd9e95a1,了之后,ngram,83,37,0.85,,了之后,review
unknown_8990a0b917a1,天之后,ngram,83,26,0.85,,天之后,review
unknown_2529ee37753f,如果说,ngram,80,40,0.85,,如果说,review
unknown_c1913d85af40,难道这,ngram,80,28,0.85,,难道这,review
unknown_ecfe743f28ce,去之后,ngram,79,34,0.85,,去之后,review
unknown_2ec85a4216e2,只要是,ngram,79,26,0.85,,只要是,review
unknown_7698ba1cbc99,虽然不知,ngram,79,43,0.85,,虽然不知,review
unknown_140dae95c218,虽然只是,ngram,78,45,0.85,,虽然只是,review
unknown_2fc513744aa1,你之前,ngram,77,34,0.85,,你之前,review
unknown_b95ce0ab68ff,竟然在,ngram,77,29,0.85,surprise,竟然在,review
unknown_760823811191,难道不,ngram,77,30,0.85,,难道不,review
unknown_f75ddffa6d17,丈之内,ngram,76,23,0.85,,丈之内,review
unknown_7956c6802f3e,人竟然,ngram,76,35,0.85,surprise,人竟然,review
unknown_3fed52aad740,山之后,ngram,76,33,0.85,,山之后,review
unknown_9f4d57a2849c,竟然也,ngram,76,29,0.85,surprise,竟然也,review
unknown_a2b2fce00896,虽然还,ngram,76,43,0.85,,虽然还,review
unknown_66cf1cd47afd,门之中,ngram,76,27,0.85,,门之中,review
unknown_e0541064b28e,难道就,ngram,76,25,0.85,,难道就,review
unknown_cb8c37d20776,成之后,ngram,75,29,0.85,,成之后,review
unknown_9adca2a664e5,一般来说,ngram,74,32,0.85,,一般来说,review
unknown_7d7d5986e255,般来说,ngram,74,32,0.85,,般来说,review
unknown_8edc84a1eef4,上来说,ngram,73,29,0.85,,上来说,review
unknown_7990b0f4ef2c,更何况,ngram,73,40,0.85,addition,更何况,review
unknown_cd344ad08a9d,竟然不,ngram,73,31,0.85,surprise,竟然不,review
unknown_50b0aadf1462,如果我们,ngram,72,31,0.85,,如果我们,review
unknown_e643c8f6ec62,竟然没有,ngram,72,29,0.85,surprise,竟然没有,review
unknown_734899812a84,人之中,ngram,70,28,0.85,,人之中,review
unknown_943b2189b3c1,虽然也,ngram,70,43,0.85,,虽然也,review
unknown_cedc75979aa7,空之上,ngram,69,23,0.85,,空之上,review
unknown_f5ca59fd4461,竟然能,ngram,69,26,0.85,surprise,竟然能,review
unknown_4e8f3007f8e1,虽然不知道,ngram,69,37,0.85,,虽然不知道,review
unknown_e2a9e154f31f,难道他,ngram,69,29,0.85,,难道他,review
unknown_8053256f29bf,人之后,ngram,68,32,0.85,,人之后,review
unknown_9f3066a8c2cc,再怎么,ngram,68,31,0.85,,再怎么,review
unknown_1e7eca0d0b25,只要能,ngram,68,33,0.85,,只要能,review
unknown_9c81f92021af,开之后,ngram,68,26,0.85,,开之后,review
unknown_ff0a06f7f241,此之前,ngram,68,25,0.85,,此之前,review
unknown_0ee93974fe26,如果想,ngram,67,26,0.85,,如果想,review
unknown_32e3f63a6de2,只要一,ngram,66,34,0.85,,只要一,review
unknown_fb1d7cce7f0f,如果再,ngram,66,30,0.85,,如果再,review
unknown_442a3f427210,半空之中,ngram,65,20,0.85,,半空之中,review
unknown_b614ccfa39bb,良久之后,ngram,65,13,0.85,,良久之后,review
unknown_ca501a4311f1,荒之中,ngram,65,31,0.85,,荒之中,review
unknown_c262bde52a3e,在此之前,ngram,64,23,0.85,,在此之前,review
unknown_d45aefd0f0e3,竟然是一,ngram,64,28,0.85,surprise,竟然是一,review
unknown_e6d5dc8a01e1,虽然看,ngram,64,35,0.85,,虽然看,review
unknown_b5bc2d1cce5b,除非是,ngram,64,32,0.85,,除非是,review
unknown_a96e72665436,如果可,ngram,63,33,0.85,,如果可,review
unknown_aeb2ca77ce5a,甚至还,ngram,62,35,0.85,,甚至还,review
unknown_5823cc3717ce,理来说,ngram,61,25,0.85,,理来说,review
unknown_f633d836a7d1,脉之中,ngram,61,23,0.85,,脉之中,review
unknown_94b30a180f0d,难道还,ngram,61,17,0.85,,难道还,review
unknown_c7635c540421,竟然敢,ngram,60,23,0.849,surprise,竟然敢,review
unknown_e0eb3d41f2ae,冥之中,ngram,59,23,0.848,,冥之中,review
unknown_8ac014c6c5ae,如果自,ngram,59,32,0.848,,如果自,review
unknown_5e9a1ac3cdc5,界之中,ngram,59,9,0.848,,界之中,review
unknown_2bd21b6487a3,竟然还有,ngram,59,23,0.848,surprise,竟然还有,review
unknown_c5a2b359466c,也未必,ngram,58,29,0.847,,也未必,review
unknown_791f06fd383a,如果一,ngram,58,31,0.847,,如果一,review
unknown_ef0d866779cd,目光之中,ngram,58,25,0.847,,目光之中,review
unknown_d37e05355549,里之内,ngram,58,26,0.847,,里之内,review
unknown_39a0955a7363,门之后,ngram,58,26,0.847,,门之后,review
unknown_98e4d48a3007,如果在,ngram,57,27,0.846,,如果在,review
unknown_fa2b218d1f67,奈之下,ngram,56,29,0.845,,奈之下,review
unknown_239227392f1a,如果自己,ngram,56,31,0.845,,如果自己,review
