candidate_id,pattern_text,pattern_type,frequency,chapter_count,confidence,guessed_category,suggested_regex,status

unknown_9006b2972bb9,甚至,marker,313805,6438,0.96,,甚至,review

unknown_4b4879ae223e,毕竟,marker,183154,5012,0.96,reasoning,毕竟,review

unknown_3f812cadda0e,甚至,clause_anomaly,171827,6329,0.96,,甚至,review

unknown_b44bc1aecbae,对于,marker,143729,4718,0.96,,对于,review

unknown_2c984e1ad27e,竟然,marker,138973,4778,0.96,surprise,竟然,review

unknown_1a4e0ed15409,至于,marker,136474,4876,0.96,,至于,review

unknown_fbb1f79f649c,竟然,clause_anomaly,86292,4568,0.96,surprise,竟然,review

unknown_a405ad6d00cc,毕竟,clause_anomaly,80985,4830,0.96,reasoning,毕竟,review

unknown_fc54698627be,越...越,paired_marker,80073,5487,0.96,progressive_comparison,越(?P<a>.+?)越(?P<b>.+),review

unknown_b51de0d913a5,对于,clause_anomaly,75773,4597,0.96,,对于,review

unknown_ea0deeee6f5f,反而,marker,71259,4697,0.96,contrast,反而,review

unknown_b762a4403719,并非,marker,65044,4636,0.96,,并非,review

unknown_a93d4c14bde4,至于,clause_anomaly,63788,4692,0.96,,至于,review

unknown_14f6733147c9,竟是,marker,60712,4209,0.96,,竟是,review

unknown_4a159069f22f,只不过,marker,53579,3724,0.96,minimizing,只不过,review

unknown_dc400838270f,否则,marker,47660,4305,0.96,condition,否则,review

unknown_90ada0fab7c4,反而,clause_anomaly,36268,4358,0.96,contrast,反而,review

unknown_86a78feca54c,不过是,marker,34442,3728,0.96,minimizing,不过是,review

unknown_9724559bd88c,并非,clause_anomaly,33076,4316,0.96,,并非,review

unknown_5df735e4eeb7,倒也,marker,32483,3711,0.96,,倒也,review

unknown_b15a47439a82,终究,marker,31456,3751,0.96,conclusion,终究,review

unknown_d4e67ff09480,关于,marker,30094,3896,0.96,,关于,review

unknown_fa654550899f,否则,clause_anomaly,29292,3906,0.96,condition,否则,review

unknown_d3a5420b65e1,何况,marker,27680,3554,0.96,addition,何况,review

unknown_9c7ef68921f8,由于,marker,27022,2816,0.96,,由于,review

unknown_ae4fa72d2f68,乃至,marker,25694,3214,0.96,,乃至,review

unknown_953b50643067,未必,marker,24606,3450,0.96,,未必,review

unknown_b113cab7d833,竟是,clause_anomaly,23735,3428,0.96,,竟是,review

unknown_38bd2a77e88e,只不过,clause_anomaly,23314,3224,0.96,minimizing,只不过,review

unknown_46424c166330,与其,marker,23101,3537,0.96,,与其,review

unknown_d11827d96b36,关于,clause_anomaly,21132,3671,0.96,,关于,review

unknown_cb35f3f3d5aa,反倒,marker,21132,3059,0.96,,反倒,review

unknown_d48ac6b9b181,更何况,marker,19385,3140,0.96,addition,更何况,review

unknown_1805abb58be3,偏偏,marker,18502,3302,0.96,counter_expectation,偏偏,review

unknown_5e338ff783a2,不过是,clause_anomaly,16524,3048,0.96,minimizing,不过是,review

unknown_9426672a35e4,终究,clause_anomaly,16432,3315,0.96,conclusion,终究,review

unknown_3ec477f8bd01,倒也,clause_anomaly,15625,3237,0.96,,倒也,review

unknown_4887ea00d7df,未必,clause_anomaly,14880,3035,0.96,,未必,review

unknown_d944ab66cf7e,莫非,marker,14465,2442,0.96,rhetorical_question,莫非,review

unknown_9c93a56ceb5a,由于,clause_anomaly,14167,2583,0.96,,由于,review

unknown_30c68014e218,与其,clause_anomaly,13397,3209,0.96,,与其,review

unknown_e0e80e26dbc0,乃至,clause_anomaly,12526,2726,0.96,,乃至,review

unknown_7bec30182eec,不是...而是,paired_marker,12342,4050,0.96,contrast_correction,不是(?P<a>.+?)而是(?P<b>.+),review

unknown_88478724f2c9,并非...而是,paired_marker,11209,3273,0.96,contrast_correction,并非(?P<a>.+?)而是(?P<b>.+),review

unknown_cb4b74d2c4f1,反倒,clause_anomaly,11038,2802,0.96,,反倒,review

unknown_8c4f50f63092,更何况...何况,frame_template,10674,3038,0.96,addition,更何况(?P<a>.+?)何况(?P<b>.+),review

unknown_b7878b20f18f,莫非,clause_anomaly,10381,2236,0.96,rhetorical_question,莫非,review

unknown_ad2a9922bcad,毕竟...竟是,frame_template,10142,3241,0.96,reasoning,毕竟(?P<a>.+?)竟是(?P<b>.+),review

unknown_d426db6c8e4d,更何况 / 何况,clause_anomaly,9975,2691,0.96,addition,更何况(?P<a>.+?)何况,review

unknown_d838173e9a2f,既...又,paired_marker,9697,3342,0.96,parallel_attribute,既(?P<a>.+?)又(?P<b>.+),review

unknown_6a6bde3b7405,毕竟 / 竟是,clause_anomaly,9690,2859,0.96,reasoning,毕竟(?P<a>.+?)竟是,review

unknown_593bd90a4732,偏偏,clause_anomaly,9253,2914,0.96,counter_expectation,偏偏,review

unknown_ea435be5542b,哪怕...也,paired_marker,8795,3399,0.96,concession,哪怕(?P<a>.+?)也(?P<b>.+),review

unknown_5aef92e65e35,再怎么,marker,8683,2534,0.96,,再怎么,review

unknown_19893080246a,索性,marker,8333,2138,0.96,decision,索性,review

unknown_6f0c1abd9c05,即便...也,paired_marker,7612,2582,0.96,concession,即便(?P<a>.+?)也(?P<b>.+),review

unknown_49439bd89de2,难不成,marker,6915,2011,0.96,rhetorical_question,难不成,review

unknown_fbb6bee93f16,倘若,marker,6557,2103,0.96,,倘若,review

unknown_2ca2047a62de,不管...都,paired_marker,6358,2741,0.96,regardless,不管(?P<a>.+?)都(?P<b>.+),review

unknown_6c5b0eb69a6c,甚至...至于,frame_template,6327,2264,0.96,,甚至(?P<a>.+?)至于(?P<b>.+),review

unknown_8457cb6fcff0,免得,marker,6267,1749,0.96,precaution,免得,review

unknown_b9f8295dd81f,只不过 / 不过是,clause_anomaly,5597,1847,0.96,minimizing,只不过(?P<a>.+?)不过是,review

unknown_6a1574e333b3,无论...都,paired_marker,5553,2297,0.96,regardless,无论(?P<a>.+?)都(?P<b>.+),review

unknown_34a205e9d4ae,甚至 / 至于,clause_anomaly,5363,1842,0.96,,甚至(?P<a>.+?)至于,review

