candidate_id,pattern_text,pattern_type,frequency,chapter_count,confidence,guessed_category,suggested_regex,status
unknown_9006b2972bb9,甚至,marker,3604,142,0.96,,甚至,review
unknown_2c984e1ad27e,竟然,marker,2461,128,0.96,surprise,竟然,review
unknown_4b4879ae223e,毕竟,marker,2457,140,0.96,reasoning,毕竟,review
unknown_3f812cadda0e,甚至,clause_anomaly,2014,136,0.96,,甚至,review
unknown_1a4e0ed15409,至于,marker,1876,135,0.96,,至于,review
unknown_b44bc1aecbae,对于,marker,1801,139,0.96,,对于,review
unknown_fbb1f79f649c,竟然,clause_anomaly,1481,127,0.96,surprise,竟然,review
unknown_a405ad6d00cc,毕竟,clause_anomaly,1166,131,0.96,reasoning,毕竟,review
unknown_fc54698627be,越...越,paired_marker,1133,146,0.96,progressive_comparison,越(?P<a>.+?)越(?P<b>.+),review
unknown_ea0deeee6f5f,反而,marker,1099,131,0.96,contrast,反而,review
unknown_9c7ef68921f8,由于,marker,929,144,0.96,,由于,review
unknown_b51de0d913a5,对于,clause_anomaly,912,131,0.96,,对于,review
unknown_a93d4c14bde4,至于,clause_anomaly,909,128,0.96,,至于,review
unknown_dc400838270f,否则,marker,774,131,0.96,condition,否则,review
unknown_4a159069f22f,只不过,marker,715,118,0.96,minimizing,只不过,review
unknown_90ada0fab7c4,反而,clause_anomaly,551,123,0.96,contrast,反而,review
unknown_9c93a56ceb5a,由于,clause_anomaly,517,137,0.96,,由于,review
unknown_14f6733147c9,竟是,marker,510,102,0.96,,竟是,review
unknown_fa654550899f,否则,clause_anomaly,509,117,0.96,condition,否则,review
unknown_5df735e4eeb7,倒也,marker,449,106,0.96,,倒也,review
unknown_86a78feca54c,不过是,marker,380,94,0.96,minimizing,不过是,review
unknown_38bd2a77e88e,只不过,clause_anomaly,369,103,0.96,minimizing,只不过,review
unknown_d3a5420b65e1,何况,marker,355,94,0.96,addition,何况,review
unknown_b762a4403719,并非,marker,351,94,0.96,,并非,review
unknown_d4e67ff09480,关于,marker,337,87,0.96,,关于,review
unknown_953b50643067,未必,marker,326,84,0.96,,未必,review
unknown_46424c166330,与其,marker,303,85,0.96,,与其,review
unknown_d48ac6b9b181,更何况,marker,249,72,0.96,addition,更何况,review
unknown_d11827d96b36,关于,clause_anomaly,246,79,0.96,,关于,review
unknown_3ec477f8bd01,倒也,clause_anomaly,237,88,0.96,,倒也,review
unknown_ae4fa72d2f68,乃至,marker,222,58,0.96,,乃至,review
unknown_b15a47439a82,终究,marker,213,68,0.96,conclusion,终究,review
unknown_4887ea00d7df,未必,clause_anomaly,212,68,0.96,,未必,review
unknown_1805abb58be3,偏偏,marker,211,61,0.96,counter_expectation,偏偏,review
unknown_cb35f3f3d5aa,反倒,marker,207,76,0.96,,反倒,review
unknown_5e338ff783a2,不过是,clause_anomaly,192,63,0.96,minimizing,不过是,review
unknown_30c68014e218,与其,clause_anomaly,189,76,0.96,,与其,review
unknown_9724559bd88c,并非,clause_anomaly,182,79,0.96,,并非,review
unknown_b113cab7d833,竟是,clause_anomaly,169,56,0.96,,竟是,review
unknown_49439bd89de2,难不成,marker,158,53,0.96,rhetorical_question,难不成,review
unknown_d944ab66cf7e,莫非,marker,144,50,0.96,rhetorical_question,莫非,review
unknown_8c4f50f63092,更何况...何况,frame_template,139,70,0.96,addition,更何况(?P<a>.+?)何况(?P<b>.+),review
unknown_d426db6c8e4d,更何况 / 何况,clause_anomaly,133,59,0.96,addition,更何况(?P<a>.+?)何况,review
unknown_ad2a9922bcad,毕竟...竟是,frame_template,125,67,0.96,reasoning,毕竟(?P<a>.+?)竟是(?P<b>.+),review
unknown_6a6bde3b7405,毕竟 / 竟是,clause_anomaly,121,48,0.96,reasoning,毕竟(?P<a>.+?)竟是,review
unknown_e0e80e26dbc0,乃至,clause_anomaly,117,43,0.96,,乃至,review
unknown_9426672a35e4,终究,clause_anomaly,108,47,0.96,conclusion,终究,review
unknown_593bd90a4732,偏偏,clause_anomaly,106,48,0.96,counter_expectation,偏偏,review
unknown_cb4b74d2c4f1,反倒,clause_anomaly,106,56,0.96,,反倒,review
